"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2023/02/01","GBENG",56286961,300,9144,300,9144,0.569553805774278,0.0101486154735763,0.0058305568776773,0.00162775970192182,0.0125972176580129,0.00228781539161734,0.00179960252257327,0.000869428061608175,0.0194682389587273,0.00285618653758151
"2023/02/02","GBENG",56286961,300,9024,300,9024,0.559175531914894,0.0102436675075339,0.00435150489544301,0.00141836935006402,0.0134086879432624,0.00237306881881868,0.00191552684903749,0.000902144943529611,0.0184998318197107,0.00279652746139559
"2023/02/03","GBENG",56286961,300,9024,300,9024,0.559175531914894,0.0102436675075339,0.00435150489544301,0.00141836935006402,0.0134086879432624,0.00237306881881868,0.00191552684903749,0.000902144943529611,0.0184998318197107,0.00279652746139559
"2023/02/04","GBENG",56286961,300,9024,300,9024,0.559175531914894,0.0102436675075339,0.00435150489544301,0.00141836935006402,0.0134086879432624,0.00237306881881868,0.00191552684903749,0.000902144943529611,0.0184998318197107,0.00279652746139559
"2023/02/05","GBENG",56286961,300,9024,300,9024,0.559175531914894,0.0102436675075339,0.00435150489544301,0.00141836935006402,0.0134086879432624,0.00237306881881868,0.00191552684903749,0.000902144943529611,0.0184998318197107,0.00279652746139559
"2023/02/06","GBENG",56286961,300,9271,285,8861,0.565095458958041,0.0100911969026384,0.00397103480495211,0.00133213521839127,0.0127669189922043,0.00233886320612942,0.0018238455703149,0.000888893125286751,0.0191851935447466,0.00285616519015261
"2023/02/07","GBENG",56286961,300,9271,285,8861,0.565095458958041,0.0100911969026384,0.00397103480495211,0.00133213521839127,0.0127669189922043,0.00233886320612942,0.0018238455703149,0.000888893125286751,0.0191851935447466,0.00285616519015261
"2023/02/08","GBENG",56286961,300,9271,285,8861,0.565095458958041,0.0100911969026384,0.00397103480495211,0.00133213521839127,0.0127669189922043,0.00233886320612942,0.0018238455703149,0.000888893125286751,0.0191851935447466,0.00285616519015261
"2023/02/09","GBENG",56286961,300,9271,210,6288,0.565095458958041,0.0100911969026384,0.00397103480495211,0.00133213521839127,0.0156100669002867,0.0030663618241561,0.00223000955718382,0.0011668257811389,0.0186068702290076,0.0033400271383728
"2023/02/10","GBENG",56286961,300,9271,210,6288,0.565095458958041,0.0100911969026384,0.00397103480495211,0.00133213521839127,0.0156100669002867,0.0030663618241561,0.00223000955718382,0.0011668257811389,0.0186068702290076,0.0033400271383728
"2023/02/11","GBENG",56286961,300,9271,210,6288,0.565095458958041,0.0100911969026384,0.00397103480495211,0.00133213521839127,0.0156100669002867,0.0030663618241561,0.00223000955718382,0.0011668257811389,0.0186068702290076,0.0033400271383728
"2023/02/12","GBENG",56286961,300,9271,210,6288,0.565095458958041,0.0100911969026384,0.00397103480495211,0.00133213521839127,0.0156100669002867,0.0030663618241561,0.00223000955718382,0.0011668257811389,0.0186068702290076,0.0033400271383728
"2023/02/13","GBENG",56286961,300,9026,212,6431,0.586860181697319,0.0101581886837914,0.00524621437939668,0.00154605730291714,0.0199345896277838,0.00341883339002213,0.00284779851825483,0.00130341319169644,0.0175711397916343,0.00321114087784381
"2023/02/14","GBENG",56286961,300,9026,212,6431,0.586860181697319,0.0101581886837914,0.00524621437939668,0.00154605730291714,0.0199345896277838,0.00341883339002213,0.00284779851825483,0.00130341319169644,0.0175711397916343,0.00321114087784381
"2023/02/15","GBENG",56286961,300,9026,212,6431,0.586860181697319,0.0101581886837914,0.00524621437939668,0.00154605730291714,0.0199345896277838,0.00341883339002213,0.00284779851825483,0.00130341319169644,0.0175711397916343,0.00321114087784381
"2023/02/16","GBENG",56286961,300,9026,139,4342,0.586860181697319,0.0101581886837914,0.00524621437939668,0.00154605730291714,0.0173130193905817,0.00388416683650314,0.00247328848436882,0.0014791203824166,0.0147397512666974,0.00358446000922526
"2023/02/17","GBENG",56286961,300,9026,139,4342,0.586860181697319,0.0101581886837914,0.00524621437939668,0.00154605730291714,0.0173130193905817,0.00388416683650314,0.00247328848436882,0.0014791203824166,0.0147397512666974,0.00358446000922526
"2023/02/18","GBENG",56286961,300,9026,139,4342,0.586860181697319,0.0101581886837914,0.00524621437939668,0.00154605730291714,0.0173130193905817,0.00388416683650314,0.00247328848436882,0.0014791203824166,0.0147397512666974,0.00358446000922526
"2023/02/19","GBENG",56286961,300,9026,139,4342,0.586860181697319,0.0101581886837914,0.00524621437939668,0.00154605730291714,0.0173130193905817,0.00388416683650314,0.00247328848436882,0.0014791203824166,0.0147397512666974,0.00358446000922526
"2023/02/20","GBENG",56286961,300,9161,149,4609,0.571771640650584,0.0101327112639817,0.00498693896936595,0.00150442967007534,0.0136085280108868,0.00341985956099233,0.00194407543012669,0.0013002056109726,0.0104144065957908,0.00293081687631723
"2023/02/21","GBENG",56286961,300,9161,149,4609,0.571771640650584,0.0101327112639817,0.00498693896936595,0.00150442967007534,0.0136085280108868,0.00341985956099233,0.00194407543012669,0.0013002056109726,0.0104144065957908,0.00293081687631723
"2023/02/22","GBENG",56286961,300,9161,149,4609,0.571771640650584,0.0101327112639817,0.00498693896936595,0.00150442967007534,0.0136085280108868,0.00341985956099233,0.00194407543012669,0.0013002056109726,0.0104144065957908,0.00293081687631723
"2023/02/23","GBENG",56286961,300,9161,149,4609,0.571771640650584,0.0101327112639817,0.00498693896936595,0.00150442967007534,0.0136085280108868,0.00341985956099233,0.00194407543012669,0.0013002056109726,0.0104144065957908,0.00293081687631723
"2023/02/24","GBENG",56286961,300,9161,149,4609,0.571771640650584,0.0101327112639817,0.00498693896936595,0.00150442967007534,0.0136085280108868,0.00341985956099233,0.00194407543012669,0.0013002056109726,0.0104144065957908,0.00293081687631723
"2023/02/25","GBENG",56286961,300,9161,149,4609,0.571771640650584,0.0101327112639817,0.00498693896936595,0.00150442967007534,0.0136085280108868,0.00341985956099233,0.00194407543012669,0.0013002056109726,0.0104144065957908,0.00293081687631723
"2023/02/26","GBENG",56286961,300,9161,149,4609,0.571771640650584,0.0101327112639817,0.00498693896936595,0.00150442967007534,0.0136085280108868,0.00341985956099233,0.00194407543012669,0.0013002056109726,0.0104144065957908,0.00293081687631723
"2023/02/27","GBENG",56286961,300,9384,142,4328,0.569373401534527,0.0100185092770107,0.00472589792060491,0.00146107928604727,0.00557846228474412,0.00227344229427466,0.000796923183534874,0.000861343807082035,0.00762476894639556,0.00259152717286579
"2023/02/28","GBENG",56286961,300,9384,142,4328,0.569373401534527,0.0100185092770107,0.00472589792060491,0.00146107928604727,0.00557846228474412,0.00227344229427466,0.000796923183534874,0.000861343807082035,0.00762476894639556,0.00259152717286579
"2023/03/01","GBENG",56286961,300,9384,142,4328,0.569373401534527,0.0100185092770107,0.00472589792060491,0.00146107928604727,0.00557846228474412,0.00227344229427466,0.000796923183534874,0.000861343807082035,0.00762476894639556,0.00259152717286579
"2023/03/02","GBENG",56286961,300,9384,142,4328,0.569373401534527,0.0100185092770107,0.00472589792060491,0.00146107928604727,0.00557846228474412,0.00227344229427466,0.000796923183534874,0.000861343807082035,0.00762476894639556,0.00259152717286579
"2023/03/03","GBENG",56286961,300,9384,142,4328,0.569373401534527,0.0100185092770107,0.00472589792060491,0.00146107928604727,0.00557846228474412,0.00227344229427466,0.000796923183534874,0.000861343807082035,0.00762476894639556,0.00259152717286579
"2023/03/04","GBENG",56286961,300,9384,142,4328,0.569373401534527,0.0100185092770107,0.00472589792060491,0.00146107928604727,0.00557846228474412,0.00227344229427466,0.000796923183534874,0.000861343807082035,0.00762476894639556,0.00259152717286579
"2023/03/05","GBENG",56286961,300,9384,142,4328,0.569373401534527,0.0100185092770107,0.00472589792060491,0.00146107928604727,0.00557846228474412,0.00227344229427466,0.000796923183534874,0.000861343807082035,0.00762476894639556,0.00259152717286579
"2023/03/06","GBENG",56286961,300,9012,141,4033,0.569906790945406,0.0102216429858856,0.00578034682080925,0.00163050652491526,0.00797806033408128,0.00275315749983282,0.00113972290486875,0.00104417615020916,0.0116538556905529,0.00331225171901289
"2023/03/07","GBENG",56286961,300,9012,141,4033,0.569906790945406,0.0102216429858856,0.00578034682080925,0.00163050652491526,0.00797806033408128,0.00275315749983282,0.00113972290486875,0.00104417615020916,0.0116538556905529,0.00331225171901289
"2023/03/08","GBENG",56286961,300,9012,141,4033,0.569906790945406,0.0102216429858856,0.00578034682080925,0.00163050652491526,0.00797806033408128,0.00275315749983282,0.00113972290486875,0.00104417615020916,0.0116538556905529,0.00331225171901289
"2023/03/09","GBENG",56286961,300,9012,141,4033,0.569906790945406,0.0102216429858856,0.00578034682080925,0.00163050652491526,0.00797806033408128,0.00275315749983282,0.00113972290486875,0.00104417615020916,0.0116538556905529,0.00331225171901289
"2023/03/10","GBENG",56286961,300,9012,141,4033,0.569906790945406,0.0102216429858856,0.00578034682080925,0.00163050652491526,0.00797806033408128,0.00275315749983282,0.00113972290486875,0.00104417615020916,0.0116538556905529,0.00331225171901289
"2023/03/11","GBENG",56286961,300,9012,141,4033,0.569906790945406,0.0102216429858856,0.00578034682080925,0.00163050652491526,0.00797806033408128,0.00275315749983282,0.00113972290486875,0.00104417615020916,0.0116538556905529,0.00331225171901289
"2023/03/12","GBENG",56286961,300,9012,141,4033,0.569906790945406,0.0102216429858856,0.00578034682080925,0.00163050652491526,0.00797806033408128,0.00275315749983282,0.00113972290486875,0.00104417615020916,0.0116538556905529,0.00331225171901289
"2023/03/13","GBENG",56286961,300,9170,149,4516,0.536859323882225,0.0102058724394657,0.00656506447831184,0.00171381045386986,0.0107047279214987,0.00301207701868137,0.00152924684592838,0.00114372538365281,0.0133605072463768,0.00338629102629297
"2023/03/14","GBENG",56286961,300,9170,149,4516,0.536859323882225,0.0102058724394657,0.00656506447831184,0.00171381045386986,0.0107047279214987,0.00301207701868137,0.00152924684592838,0.00114372538365281,0.0133605072463768,0.00338629102629297
"2023/03/15","GBENG",56286961,300,9170,149,4516,0.536859323882225,0.0102058724394657,0.00656506447831184,0.00171381045386986,0.0107047279214987,0.00301207701868137,0.00152924684592838,0.00114372538365281,0.0133605072463768,0.00338629102629297
"2023/03/16","GBENG",56286961,300,9170,149,4516,0.536859323882225,0.0102058724394657,0.00656506447831184,0.00171381045386986,0.0107047279214987,0.00301207701868137,0.00152924684592838,0.00114372538365281,0.0133605072463768,0.00338629102629297
"2023/03/17","GBENG",56286961,300,9170,149,4516,0.536859323882225,0.0102058724394657,0.00656506447831184,0.00171381045386986,0.0107047279214987,0.00301207701868137,0.00152924684592838,0.00114372538365281,0.0133605072463768,0.00338629102629297
"2023/03/18","GBENG",56286961,300,9170,149,4516,0.536859323882225,0.0102058724394657,0.00656506447831184,0.00171381045386986,0.0107047279214987,0.00301207701868137,0.00152924684592838,0.00114372538365281,0.0133605072463768,0.00338629102629297
"2023/03/19","GBENG",56286961,300,9170,149,4516,0.536859323882225,0.0102058724394657,0.00656506447831184,0.00171381045386986,0.0107047279214987,0.00301207701868137,0.00152924684592838,0.00114372538365281,0.0133605072463768,0.00338629102629297
"2023/03/20","GBENG",56286961,300,8646,151,4325,0.553550774924821,0.0104786478062099,0.00688016012009007,0.00181203307613705,0.0120649651972158,0.00325939268210781,0.00172356645674511,0.00123836560748397,0.0149112426035503,0.00365451150755771
"2023/03/21","GBENG",56286961,300,8646,151,4325,0.553550774924821,0.0104786478062099,0.00688016012009007,0.00181203307613705,0.0120649651972158,0.00325939268210781,0.00172356645674511,0.00123836560748397,0.0149112426035503,0.00365451150755771
"2023/03/22","GBENG",56286961,300,8646,151,4325,0.553550774924821,0.0104786478062099,0.00688016012009007,0.00181203307613705,0.0120649651972158,0.00325939268210781,0.00172356645674511,0.00123836560748397,0.0149112426035503,0.00365451150755771
"2023/03/23","GBENG",56286961,300,8646,151,4325,0.553550774924821,0.0104786478062099,0.00688016012009007,0.00181203307613705,0.0120649651972158,0.00325939268210781,0.00172356645674511,0.00123836560748397,0.0149112426035503,0.00365451150755771
"2023/03/24","GBENG",56286961,300,8646,151,4325,0.553550774924821,0.0104786478062099,0.00688016012009007,0.00181203307613705,0.0120649651972158,0.00325939268210781,0.00172356645674511,0.00123836560748397,0.0149112426035503,0.00365451150755771
"2023/03/25","GBENG",56286961,300,8646,151,4325,0.553550774924821,0.0104786478062099,0.00688016012009007,0.00181203307613705,0.0120649651972158,0.00325939268210781,0.00172356645674511,0.00123836560748397,0.0149112426035503,0.00365451150755771
"2023/03/26","GBENG",56286961,300,8646,151,4325,0.553550774924821,0.0104786478062099,0.00688016012009007,0.00181203307613705,0.0120649651972158,0.00325939268210781,0.00172356645674511,0.00123836560748397,0.0149112426035503,0.00365451150755771
"2023/03/27","GBENG",56286961,300,8740,143,4015,0.541533180778032,0.0104462127255941,0.008,0.001922303454146,0.0298879202988792,0.0052670097296958,0.00426970289983989,0.00201685652838187,0.0176836861768369,0.00407678111090866
