"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2022/11/10","GBWLS",3152879,113,3576,16,433,0.573825503355705,0.0162081328436344,0.00738007380073801,0.00294167486374157,0,0,0,0,0.0092378752886836,0.00901103939246907
"2022/11/11","GBWLS",3152879,113,3576,16,433,0.573825503355705,0.0162081328436344,0.00738007380073801,0.00294167486374157,0,0,0,0,0.0092378752886836,0.00901103939246907
"2022/11/12","GBWLS",3152879,113,3576,16,433,0.573825503355705,0.0162081328436344,0.00738007380073801,0.00294167486374157,0,0,0,0,0.0092378752886836,0.00901103939246907
"2022/11/13","GBWLS",3152879,113,3576,16,433,0.573825503355705,0.0162081328436344,0.00738007380073801,0.00294167486374157,0,0,0,0,0.0092378752886836,0.00901103939246907
"2022/11/14","GBWLS",3152879,114,3542,17,355,0.57029926595144,0.0163026523219812,0.00742574257425743,0.00295981020700971,0,0,0,0,0.00563380281690141,0.00778588369489551
"2022/11/15","GBWLS",3152879,114,3542,17,355,0.57029926595144,0.0163026523219812,0.00742574257425743,0.00295981020700971,0,0,0,0,0.00563380281690141,0.00778588369489551
"2022/11/16","GBWLS",3152879,114,3542,17,355,0.57029926595144,0.0163026523219812,0.00742574257425743,0.00295981020700971,0,0,0,0,0.00563380281690141,0.00778588369489551
"2022/11/17","GBWLS",3152879,122,3793,20,458,0.57922488795149,0.015711053189986,0.00749711649365629,0.00287092313352953,0.00655021834061135,0.00738781819923664,0.000935745477230193,0.00280021211797972,0.00873362445414847,0.00852133808065881
"2022/11/18","GBWLS",3152879,122,3793,20,458,0.57922488795149,0.015711053189986,0.00749711649365629,0.00287092313352953,0.00655021834061135,0.00738781819923664,0.000935745477230193,0.00280021211797972,0.00873362445414847,0.00852133808065881
"2022/11/19","GBWLS",3152879,118,3678,20,458,0.587547580206634,0.0159092855719651,0.00769686204854944,0.00294711648785729,0.00655021834061135,0.00738781819923664,0.000935745477230193,0.00280021211797972,0.00873362445414847,0.00852133808065881
"2022/11/20","GBWLS",3152879,118,3678,20,458,0.587547580206634,0.0159092855719651,0.00769686204854944,0.00294711648785729,0.00655021834061135,0.00738781819923664,0.000935745477230193,0.00280021211797972,0.00873362445414847,0.00852133808065881
"2022/11/21","GBWLS",3152879,123,3810,23,577,0.58503937007874,0.0156452171981761,0.00740740740740741,0.00283669839839592,0.00519930675909879,0.00586814646283603,0.000742758108442684,0.00222291336713743,0.00693240901213172,0.00677004690984491
"2022/11/22","GBWLS",3152879,123,3810,23,577,0.58503937007874,0.0156452171981761,0.00740740740740741,0.00283669839839592,0.00519930675909879,0.00586814646283603,0.000742758108442684,0.00222291336713743,0.00693240901213172,0.00677004690984491
"2022/11/23","GBWLS",3152879,118,3752,23,577,0.585820895522388,0.0157613421810778,0.0072212593876372,0.00282044260306481,0.00519930675909879,0.00586814646283603,0.000742758108442684,0.00222291336713743,0.00693240901213172,0.00677004690984491
"2022/11/24","GBWLS",3152879,121,3792,21,478,0.588607594936709,0.0156622803100578,0.0071694866647548,0.00280029449128566,0.0125523012552301,0.00998051313656122,0.0017931858936043,0.00379277486907466,0.0104602510460251,0.00912056659268069
"2022/11/25","GBWLS",3152879,121,3792,21,478,0.588607594936709,0.0156622803100578,0.0071694866647548,0.00280029449128566,0.0125523012552301,0.00998051313656122,0.0017931858936043,0.00379277486907466,0.0104602510460251,0.00912056659268069
"2022/11/26","GBWLS",3152879,121,3792,21,478,0.588607594936709,0.0156622803100578,0.0071694866647548,0.00280029449128566,0.0125523012552301,0.00998051313656122,0.0017931858936043,0.00379277486907466,0.0104602510460251,0.00912056659268069
"2022/11/27","GBWLS",3152879,117,3630,21,478,0.593939393939394,0.0159757506518656,0.00740740740740741,0.00289287609751964,0.0125523012552301,0.00998051313656122,0.0017931858936043,0.00379277486907466,0.0104602510460251,0.00912056659268069
"2022/11/28","GBWLS",3152879,122,3680,21,473,0.59320652173913,0.0158713595780202,0.00732064421669107,0.00285911670131509,0.0147991543340381,0.0108817403325693,0.00211416490486258,0.0041393045344414,0.0126849894291755,0.0100853377132297
"2022/11/29","GBWLS",3152879,122,3680,21,473,0.59320652173913,0.0158713595780202,0.00732064421669107,0.00285911670131509,0.0147991543340381,0.0108817403325693,0.00211416490486258,0.0041393045344414,0.0126849894291755,0.0100853377132297
"2022/11/30","GBWLS",3152879,115,3386,21,473,0.587714116952156,0.0165800909182499,0.00640820249919897,0.0027994538924336,0.0147991543340381,0.0108817403325693,0.00211416490486258,0.0041393045344414,0.0126849894291755,0.0100853377132297
"2022/12/01","GBWLS",3152879,118,3431,16,267,0.587583794812008,0.0164717786580352,0.00663297536323437,0.00282749403562259,0.0187265917602996,0.016259861679998,0.00267522739432852,0.00619571047667234,0.0112359550561798,0.0126428151960676
"2022/12/02","GBWLS",3152879,118,3431,16,267,0.587583794812008,0.0164717786580352,0.00663297536323437,0.00282749403562259,0.0187265917602996,0.016259861679998,0.00267522739432852,0.00619571047667234,0.0112359550561798,0.0126428151960676
"2022/12/03","GBWLS",3152879,118,3431,16,267,0.587583794812008,0.0164717786580352,0.00663297536323437,0.00282749403562259,0.0187265917602996,0.016259861679998,0.00267522739432852,0.00619571047667234,0.0112359550561798,0.0126428151960676
"2022/12/04","GBWLS",3152879,116,3399,16,267,0.585760517799353,0.0165599225608331,0.00670070197830249,0.00285626705434623,0.0187265917602996,0.016259861679998,0.00267522739432852,0.00619571047667234,0.0112359550561798,0.0126428151960676
"2022/12/05","GBWLS",3152879,120,3609,15,345,0.58354114713217,0.0160833473574183,0.00739827373612824,0.00294890226756654,0.0260869565217391,0.016819393908594,0.00372670807453416,0.00642969651697876,0.0376811594202899,0.0200937116817606
"2022/12/06","GBWLS",3152879,120,3609,15,345,0.58354114713217,0.0160833473574183,0.00739827373612824,0.00294890226756654,0.0260869565217391,0.016819393908594,0.00372670807453416,0.00642969651697876,0.0376811594202899,0.0200937116817606
"2022/12/07","GBWLS",3152879,120,3609,15,345,0.58354114713217,0.0160833473574183,0.00739827373612824,0.00294890226756654,0.0260869565217391,0.016819393908594,0.00372670807453416,0.00642969651697876,0.0376811594202899,0.0200937116817606
"2022/12/08","GBWLS",3152879,122,3639,14,335,0.586150041220115,0.0160023189132845,0.00733048259010385,0.00292198094696186,0.017910447761194,0.0142021617520478,0.00255863539445629,0.00540970492000816,0.0358208955223881,0.0199009021642303
"2022/12/09","GBWLS",3152879,119,3571,14,335,0.591711005320638,0.0161209943677728,0.00748596381784155,0.00298372314045937,0.017910447761194,0.0142021617520478,0.00255863539445629,0.00540970492000816,0.0358208955223881,0.0199009021642303
"2022/12/10","GBWLS",3152879,119,3571,14,335,0.591711005320638,0.0161209943677728,0.00748596381784155,0.00298372314045937,0.017910447761194,0.0142021617520478,0.00255863539445629,0.00540970492000816,0.0358208955223881,0.0199009021642303
"2022/12/11","GBWLS",3152879,119,3571,14,335,0.591711005320638,0.0161209943677728,0.00748596381784155,0.00298372314045937,0.017910447761194,0.0142021617520478,0.00255863539445629,0.00540970492000816,0.0358208955223881,0.0199009021642303
"2022/12/12","GBWLS",3152879,120,3586,10,300,0.591466815393196,0.0160887317167537,0.00745110214219187,0.00296988028086224,0.0166666666666667,0.0144864582494133,0.00238095238095238,0.00551499578362505,0.0366666666666667,0.0212672566889474
"2022/12/13","GBWLS",3152879,116,3484,10,300,0.586107921928817,0.0163546543760029,0.00757336699274219,0.00301842700682611,0.0166666666666667,0.0144864582494133,0.00238095238095238,0.00551499578362505,0.0366666666666667,0.0212672566889474
"2022/12/14","GBWLS",3152879,116,3484,10,300,0.586107921928817,0.0163546543760029,0.00757336699274219,0.00301842700682611,0.0166666666666667,0.0144864582494133,0.00238095238095238,0.00551499578362505,0.0366666666666667,0.0212672566889474
"2022/12/15","GBWLS",3152879,119,3565,10,336,0.578120617110799,0.016211444124085,0.008,0.00306271961603904,0.0119047619047619,0.0115968012050008,0.00170068027210884,0.00440575331705759,0.0386904761904762,0.0206211134818042
"2022/12/16","GBWLS",3152879,108,3165,10,336,0.578830963665087,0.0172014607520845,0.00842105263157895,0.00335484531558614,0.0119047619047619,0.0115968012050008,0.00170068027210884,0.00440575331705759,0.0386904761904762,0.0206211134818042
"2022/12/17","GBWLS",3152879,108,3165,10,336,0.578830963665087,0.0172014607520845,0.00842105263157895,0.00335484531558614,0.0119047619047619,0.0115968012050008,0.00170068027210884,0.00440575331705759,0.0386904761904762,0.0206211134818042
"2022/12/18","GBWLS",3152879,108,3165,10,336,0.578830963665087,0.0172014607520845,0.00842105263157895,0.00335484531558614,0.0119047619047619,0.0115968012050008,0.00170068027210884,0.00440575331705759,0.0386904761904762,0.0206211134818042
"2022/12/19","GBWLS",3152879,114,3337,14,348,0.585256218160024,0.01671602252709,0.00827266710787558,0.00322938465134122,0.028735632183908,0.0175524431561211,0.00410509031198686,0.00671779247184427,0.0114942528735632,0.0111992371727546
"2022/12/20","GBWLS",3152879,114,3337,14,348,0.585256218160024,0.01671602252709,0.00827266710787558,0.00322938465134122,0.028735632183908,0.0175524431561211,0.00410509031198686,0.00671779247184427,0.0114942528735632,0.0111992371727546
"2022/12/21","GBWLS",3152879,114,3337,14,348,0.585256218160024,0.01671602252709,0.00827266710787558,0.00322938465134122,0.028735632183908,0.0175524431561211,0.00410509031198686,0.00671779247184427,0.0114942528735632,0.0111992371727546
"2022/12/22","GBWLS",3152879,118,3567,16,548,0.576114381833474,0.0162171762129398,0.00768757687576876,0.0030018692539444,0.0237226277372263,0.0127416543764534,0.00338894681960375,0.0048657863802888,0.0072992700729927,0.00712699901552781
