date,p_infected,p_infected_low,p_infected_high,p_fatalities,p_fatalities_low,p_fatalities_high,p_hospital,p_hospital_low,p_hospital_high,p_recent,p_recent_low,p_recent_high,p_daily,p_daily_low,p_daily_high,p_active,p_active_low,p_active_high
2022/08/02,55.0523634305123,53.4120845742009,56.6926422868237,0.492040520984081,0.258719745982282,0.72536129598588,1.28617363344051,0.908592445674754,1.66375482120627,1.78263369752731,1.34288101205517,2.22238638299946,0.254661956789616,0.0871631794070013,0.422160734172231,2.29266911972828,1.79914255078188,2.78619568867467
2022/08/03,55.0523634305123,53.4120845742009,56.6926422868237,0.492040520984081,0.258719745982282,0.72536129598588,1.28617363344051,0.908592445674754,1.66375482120627,1.78263369752731,1.34288101205517,2.22238638299946,0.254661956789616,0.0871631794070013,0.422160734172231,2.29266911972828,1.79914255078188,2.78619568867467
2022/08/04,55.0523634305123,53.4120845742009,56.6926422868237,0.492040520984081,0.258719745982282,0.72536129598588,1.28617363344051,0.908592445674754,1.66375482120627,1.78263369752731,1.34288101205517,2.22238638299946,0.254661956789616,0.0871631794070013,0.422160734172231,2.29266911972828,1.79914255078188,2.78619568867467
2022/08/05,55.0523634305123,53.4120845742009,56.6926422868237,0.492040520984081,0.258719745982282,0.72536129598588,1.28617363344051,0.908592445674754,1.66375482120627,1.78263369752731,1.34288101205517,2.22238638299946,0.254661956789616,0.0871631794070013,0.422160734172231,2.29266911972828,1.79914255078188,2.78619568867467
2022/08/06,55.8758314855876,54.1437789254781,57.607884045697,0.561797752808989,0.29549217674552,0.828103328872457,2.30307076101469,1.76595081028667,2.84019071174271,1.61545771301869,1.17569132561826,2.05522410041911,0.230779673288384,0.0633980149492633,0.398161331627505,1.48052784036048,1.05586252456786,1.90519315615309
2022/08/07,55.8758314855876,54.1437789254781,57.607884045697,0.561797752808989,0.29549217674552,0.828103328872457,2.30307076101469,1.76595081028667,2.84019071174271,1.61545771301869,1.17569132561826,2.05522410041911,0.230779673288384,0.0633980149492633,0.398161331627505,1.48052784036048,1.05586252456786,1.90519315615309
2022/08/08,55.8758314855876,54.1437789254781,57.607884045697,0.561797752808989,0.29549217674552,0.828103328872457,2.30307076101469,1.76595081028667,2.84019071174271,1.61545771301869,1.17569132561826,2.05522410041911,0.230779673288384,0.0633980149492633,0.398161331627505,1.48052784036048,1.05586252456786,1.90519315615309
2022/08/09,55.8758314855876,54.1437789254781,57.607884045697,0.561797752808989,0.29549217674552,0.828103328872457,2.30307076101469,1.76595081028667,2.84019071174271,1.61545771301869,1.17569132561826,2.05522410041911,0.230779673288384,0.0633980149492633,0.398161331627505,1.48052784036048,1.05586252456786,1.90519315615309
2022/08/10,55.8758314855876,54.1437789254781,57.607884045697,0.561797752808989,0.29549217674552,0.828103328872457,2.30307076101469,1.76595081028667,2.84019071174271,1.61545771301869,1.17569132561826,2.05522410041911,0.230779673288384,0.0633980149492633,0.398161331627505,1.48052784036048,1.05586252456786,1.90519315615309
2022/08/11,56.2412831241283,54.4256904691357,58.0568757791209,0.363108206245461,0.138464507751327,0.587751904739595,2.10798816568047,1.56654552067578,2.64943081068517,2.92887029288703,2.31177301734562,3.54596756842844,0.418410041841004,0.182172402004314,0.654647681677694,1.48777895855473,1.0411910981918,1.93436681891766
